"Source:"	"/home/hal/KiCAD/Z180_computer/Z180_computer.sch"
"Date:"	"tis  3 aug 2021 15:41:12"
"Tool:"	"Eeschema 5.1.5+dfsg1-2build2"
"Component Count:"	"78"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"22 pF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C2"	"22 pF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C3"	"22 pF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C4"	"22 pF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C5"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C6"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C7"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C8"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C9"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C10"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C11"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C12"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C13"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C14"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C15"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C16"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C17"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C18"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C19"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C20"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C21"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C22"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C23"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C24"	"100uF"	"Device:CP_Small"	"Capacitor_THT:CP_Radial_D7.5mm_P2.50mm"	"Polarized capacitor, small symbol"	""
"C25"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C26"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C27"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"C28"	"1uF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"	"Unpolarized capacitor, small symbol"	""
"C29"	"100nF"	"Device:C_Small"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"	"Unpolarized capacitor, small symbol"	""
"D1"	"LED"	"Device:LED"	"LED_THT:LED_D3.0mm"	"Light emitting diode"	""
"D2"	"LED"	"Device:LED"	"LED_THT:LED_D3.0mm"	"Light emitting diode"	""
"D3"	"LED"	"Device:LED"	"LED_THT:LED_D3.0mm"	"Light emitting diode"	""
"D4"	"LED"	"Device:LED"	"LED_THT:LED_D3.0mm"	"Light emitting diode"	""
"D5"	"1N4006"	"Device:D"	"Diode_THT:D_5W_P5.08mm_Vertical_KathodeUp"	"Diode"	""
"IC1"	"Z8018010VSC"	"Zilog_Z180:Z8-L180-S180-180-PLCC-68"	"Package_LCC:PLCC-68"	"Zilog Z8S180 & Z8L180, Z80 Microprocessor Z180 8bit CISC 68-Pin PLCC"	""
